Date,Event Description
1902,Second Boer War ends in British victory.
1905,The Russo-Japanese War ends in Japanese victory.
1911,"The Italo-Turkish war which led to the capture of Libya by Italy, begins."
1912,The First Balkan War begins.
1914,"Gavrilo Princip assassinates Archduke Franz Ferdinand of Austria in Sarajevo, triggering the start of World War I that day."
1917,USA joins the Entente for the last 17 months of World War I.
1917,The Ukrainian–Soviet War begins.
1918,The Armenian–Azerbaijani War begins.
1919,The First Red Scare in the United States. Irish War of Independence begins.
1919,Polish–Soviet War begins.
1919,Turkish War of Independence begins.
1920,Victory for Estonia in the Estonian War of Independence.
1920,Red Army invasion of Azerbaijan and Armenia ends the Armenian–Azerbaijani War and concludes with their incorporation into the Soviet Union.
1922,The Irish Civil War begins.
1923,The Irish Civil War ends.
1923,Turkish War of Independence ends; Ankara replaces Istanbul as its capital.
1927,The Chinese Civil War begins.
1928,Afghan Civil War (1928–1929) begins.
1931,"Japan invades Manchuria, part of the chain of events leading to the start of World War II."
1932,The Chaco War between Bolivia and Paraguay begins.
1932,"Failed Emu War in Australia.
Third Round Table Conference."
1934,The Austrian Civil War results in Fascist victory.
1935,Chaco War ends.
1935,The Second Italo-Ethiopian War begins and goes until February 1937. It includes events such as the exile of Haile Selassie and the conquest of Abyssinia by Benito Mussolini.
1937,"Japanese invasion of China, and the beginning of World War II in the Far East."
1938,"Hungarian newspaper editor László Bíró fills a British patent of the first commercially successful ballpoint pen. This would popularize the instrument, currently the most widely used for writing, after World War II."
1939,Nazi invasion of Poland triggers World War II in Europe. Soviet invasion of Poland begins 16 days later.
1939,Britain and France declare war on Germany; World War II begins.
1940,The Winter War between Soviet Union and Finland ends with a costly victory for the USSR.
1941,Continuation War between Finland and the Soviet Union begins. Siege of Tobruk in North Africa is the first major defeat for Hitler's land forces.
1941,The Japanese Attack on Pearl Harbor leads to the USA joining World War II.
1944,The Continuation War ends.
1945,"End of World War II in Europe.
The Holocaust ends after ~12 million deaths, including 6 million Jews."
1945,"End of World War II in Asia with the beginning of the Surrender of Japan.
Related subsequent announcement of the Proclamation of Independence of the Democratic Republic of Vietnam."
1946,Chinese Civil War resumes between Communist and Nationalist forces.
1946,Greek Civil War begins.
1946,First Indochina War begins.
1948,The Arab–Israeli War begins.
1949,The First Indo-Pakistani War ends.
1949,The Arab–Israeli War ends.
1954,First Indochina War ends.
1954,Algerian War begins.
1955,First Sudanese Civil War begins.
1962,The Algerian War ends with the independence of Algeria.
1964,Rhodesian Bush War begins.
1968,Battle of Karameh in Jordan (part of the War of Attrition between Israel and Arab states).
1970,The Nigerian Civil War ends with the reintegration of the Republic of Biafra with Nigeria after ~3 million deaths.
1970,"FLQ seizes hostages, causing Prime Minister Pierre Elliot Trudeau of Canada to issue the War Measures Act."
1970,North Yemen Civil War ends.
1971,"Bangladesh Liberation War and Bangladesh genocide occur, independence of Bangladesh from Pakistan precipitates Third Indo-Pakistani War."
1972,The First Sudanese Civil War ends.
1975,Bus massacre in Lebanon triggers the Lebanese Civil War which lasts until 1990
1975,The Cambodian Civil War ends with victory for the Khmer Rouge. Cambodian genocide begins.
1975,Angola declares independence from Portugal and Angolan Civil War erupts.
1977,Somalia declares war on Ethiopia setting off the Ethio-Somali War.
1978,The War in Afghanistan begins with the Saur Revolution.
1978,The Uganda–Tanzania War begins.
1978,The Cambodian-Vietnamese War begins.
1979,The Uganda–Tanzania War ends with defeat for Uganda and the exile of Idi Amin.
1979,The Rhodesian Bush War ends.
1979,The Soviet–Afghan War begins.
1983,Second Sudanese Civil War begins.
1983,Sri Lankan Civil War begins.
1989,End of the Soviet war in Afghanistan.
1989,The First Liberian Civil War begins.
1990,Gulf War begins.
1990,Transnistria War begins.
1991,The Gulf War ends in US withdrawal and a failed uprising.
1991,The Ten-Day War in Slovenia begins the Yugoslav Wars.
1992,The Bosnian War begins.
1992,Transnistria War ends.
1994,The First Chechen War begins.
1996,Nepalese Civil War begins.
1996,The First Chechen War ends.
1996,The First Congo War begins.
1997,The First Liberian Civil War ends.
1998,The Second Congo War begins.
1999,The Second Liberian Civil War begins.
1999,The end of the Kosovo War ends the Yugoslav Wars.
1999,The Second Chechen War begins.
