Date,Event Description,Continent
1902,Second Boer War ends in British victory.,Unknown
1905,The Russo-Japanese War ends in Japanese victory.,Unknown
1911,"The Italo-Turkish war which led to the capture of Libya by Italy, begins.",Africa
1912,The First Balkan War begins.,Unknown
1914,"Gavrilo Princip assassinates Archduke Franz Ferdinand of Austria in Sarajevo, triggering the start of World War I that day.",Europe
1917,USA joins the Entente for the last 17 months of World War I.,North America
1917,The Ukrainian–Soviet War begins.,Unknown
1918,The Armenian–Azerbaijani War begins.,Unknown
1919,The First Red Scare in the United States. Irish War of Independence begins.,North America
1919,Polish–Soviet War begins.,Unknown
1919,Turkish War of Independence begins.,Unknown
1920,Victory for Estonia in the Estonian War of Independence.,Europe
1920,Red Army invasion of Azerbaijan and Armenia ends the Armenian–Azerbaijani War and concludes with their incorporation into the Soviet Union.,Asia
1922,The Irish Civil War begins.,Unknown
1923,The Irish Civil War ends.,Unknown
1923,Turkish War of Independence ends; Ankara replaces Istanbul as its capital.,Unknown
1927,The Chinese Civil War begins.,Unknown
1928,Afghan Civil War (1928–1929) begins.,Unknown
1931,"Japan invades Manchuria, part of the chain of events leading to the start of World War II.",Asia
1932,The Chaco War between Bolivia and Paraguay begins.,South America
1932,"Failed Emu War in Australia.
Third Round Table Conference.",Oceania
1934,The Austrian Civil War results in Fascist victory.,Unknown
1935,Chaco War ends.,Unknown
1935,The Second Italo-Ethiopian War begins and goes until February 1937. It includes events such as the exile of Haile Selassie and the conquest of Abyssinia by Benito Mussolini.,Unknown
1937,"Japanese invasion of China, and the beginning of World War II in the Far East.",Asia
1938,"Hungarian newspaper editor László Bíró fills a British patent of the first commercially successful ballpoint pen. This would popularize the instrument, currently the most widely used for writing, after World War II.",Unknown
1939,Nazi invasion of Poland triggers World War II in Europe. Soviet invasion of Poland begins 16 days later.,Europe
1939,Britain and France declare war on Germany; World War II begins.,Europe
1940,The Winter War between Soviet Union and Finland ends with a costly victory for the USSR.,Europe
1941,Continuation War between Finland and the Soviet Union begins. Siege of Tobruk in North Africa is the first major defeat for Hitler's land forces.,Europe
1941,The Japanese Attack on Pearl Harbor leads to the USA joining World War II.,North America
1944,The Continuation War ends.,Unknown
1945,"End of World War II in Europe.
The Holocaust ends after ~12 million deaths, including 6 million Jews.",Unknown
1945,"End of World War II in Asia with the beginning of the Surrender of Japan.
Related subsequent announcement of the Proclamation of Independence of the Democratic Republic of Vietnam.",Asia
1946,Chinese Civil War resumes between Communist and Nationalist forces.,Unknown
1946,Greek Civil War begins.,Unknown
1946,First Indochina War begins.,Unknown
1948,The Arab–Israeli War begins.,Unknown
1949,The First Indo-Pakistani War ends.,Unknown
1949,The Arab–Israeli War ends.,Unknown
1954,First Indochina War ends.,Unknown
1954,Algerian War begins.,Unknown
1955,First Sudanese Civil War begins.,Unknown
1962,The Algerian War ends with the independence of Algeria.,Africa
1964,Rhodesian Bush War begins.,Unknown
1968,Battle of Karameh in Jordan (part of the War of Attrition between Israel and Arab states).,Asia
1970,The Nigerian Civil War ends with the reintegration of the Republic of Biafra with Nigeria after ~3 million deaths.,Africa
1970,"FLQ seizes hostages, causing Prime Minister Pierre Elliot Trudeau of Canada to issue the War Measures Act.",North America
1970,North Yemen Civil War ends.,Asia
1971,"Bangladesh Liberation War and Bangladesh genocide occur, independence of Bangladesh from Pakistan precipitates Third Indo-Pakistani War.",Asia
1972,The First Sudanese Civil War ends.,Unknown
1975,Bus massacre in Lebanon triggers the Lebanese Civil War which lasts until 1990,Asia
1975,The Cambodian Civil War ends with victory for the Khmer Rouge. Cambodian genocide begins.,Unknown
1975,Angola declares independence from Portugal and Angolan Civil War erupts.,Africa
1977,Somalia declares war on Ethiopia setting off the Ethio-Somali War.,Africa
1978,The War in Afghanistan begins with the Saur Revolution.,Asia
1978,The Uganda–Tanzania War begins.,Africa
1978,The Cambodian-Vietnamese War begins.,Unknown
1979,The Uganda–Tanzania War ends with defeat for Uganda and the exile of Idi Amin.,Africa
1979,The Rhodesian Bush War ends.,Unknown
1979,The Soviet–Afghan War begins.,Unknown
1983,Second Sudanese Civil War begins.,Unknown
1983,Sri Lankan Civil War begins.,Unknown
1989,End of the Soviet war in Afghanistan.,Asia
1989,The First Liberian Civil War begins.,Unknown
1990,Gulf War begins.,Unknown
1990,Transnistria War begins.,Unknown
1991,The Gulf War ends in US withdrawal and a failed uprising.,Unknown
1991,The Ten-Day War in Slovenia begins the Yugoslav Wars.,Europe
1992,The Bosnian War begins.,Unknown
1992,Transnistria War ends.,Unknown
1994,The First Chechen War begins.,Unknown
1996,Nepalese Civil War begins.,Unknown
1996,The First Chechen War ends.,Unknown
1996,The First Congo War begins.,Africa
1997,The First Liberian Civil War ends.,Unknown
1998,The Second Congo War begins.,Africa
1999,The Second Liberian Civil War begins.,Unknown
1999,The end of the Kosovo War ends the Yugoslav Wars.,Unknown
1999,The Second Chechen War begins.,Unknown
